Act	Acts 
Aes	Additions to Esther 
Amo	Amos 
Aza	Prayer of Azariah 
Bar	Baruch 
Bel	Bel and the Dragon 
Bet	Bel and the Dragon Th 
Ch1	1 Chronicles 
Ch2	2 Chronicles 
Co1	1 Corinthians 
Co2	2 Corinthians 
Col	Colossians 
Dan	Daniel 
Dat	Daniel Th 
Deu	Deuteronomy
Ecc	Ecclesiastes 
Eph	Ephesians 
Epj	Epistle of Jeremiah 
Es1	1 Esdras 
Es2	2 Esdras 
Est	Esther 
Exo	Exodus
Eze	Ezekiel 
Ezr	Ezra 
Gal	Galatians 
Gen	Genesis
Hab	Habakkuk 
Hag	Haggai 
Heb	Hebrews 
Hos	Hosea 
Isa	Isaiah 
Jam	James 
Jda	Judges A 
Jdb	Judges B 
Jde	Jude 
Jdg	Judges
Jdt	Judith 
Jer	Jeremiah 
Jo1	1 John 
Jo2	2 John 
Jo3	3 John 
Job	Job 
Joe	Joel 
Joh	John 
Jon	Jonah 
Jos	Joshua
Jsa	Joshua A 
Jsb	Joshua B 
Kg1	1 Kings 
Kg2	2 Kings 
Lam	Lamentations 
Lao	Laodiceans 
Lev	Leviticus
Luk	Luke 
Ma1	1 Macabees 
Ma2	2 Macabees 
Ma3	3 Macabees 
Ma4	4 Macabees 
Mal	Malachi 
Man	Prayer of Manasseh 
Mar	Mark 
Mat	Matthew 
Mic	Micah 
Nah	Nahum 
Neh	Nehemiah 
Num	Numbers
Oba	Obadiah 
Ode	Odes 
Pe1	1 Peter 
Pe2	2 Peter 
Phi	Philippians 
Plm	Philemon 
Pro	Proverbs 
Psa	Psalms 
Pss	Psalms of Solomon 
Rev	Revelation
Rom	Romans 
Rut	Ruth 
Sa1	1 Samuel 
Sa2	2 Samuel 
Sir	Sirach 
Sol	Song of Solomon 
Sus	Susanna 
Sut	Susanna Th 
Th1	1 Thessalonians 
Th2	2 Thessalonians 
Ti1	1 Timothy 
Ti2	2 Timothy 
Tit	Titus 
Toa	Tobit BA 
Tob	Tobias 
Tos	Tobit S 
Wis	Wisdom 
Zac	Zechariah 
Zep	Zephaniah